Parser,Size (bytes),Reduction (MB)
tree-sitter-verilog,99260208,17.33
tree-sitter-c-sharp,111083208,6.06
tree-sitter-julia,111161864,5.98
tree-sitter-objc,112093288,5.09
tree-sitter-fsharp,112299864,4.90
tree-sitter-kotlin,113371744,3.88
tree-sitter-haskell,113544400,3.71
tree-sitter-cpp,113579808,3.68
tree-sitter-swift,114105496,3.18
tree-sitter-typescript,114131752,3.16
tree-sitter-ruby,114898544,2.42
tree-sitter-bash,115664144,1.69
tree-sitter-qmljs,115750792,1.61
tree-sitter-sfapex,115820712,1.54
tree-sitter-elixir,115975720,1.39
tree-sitter-dart-orchard,116393872,0.99
tree-sitter-python,116534952,0.86
tree-sitter-erlang,116628960,0.77
tree-sitter-pascal,116648528,0.75
tree-sitter-go,116789064,0.62
tree-sitter-solidity,116853472,0.55
tree-sitter-r,116899720,0.51
tree-sitter-rust-orchard,117006736,0.41
tree-sitter-scala,117007064,0.41
tree-sitter-javascript,117007064,0.41
tree-sitter-gleam,117066616,0.35
tree-sitter-yaml,117188960,0.23
tree-sitter-racket,117240664,0.19
tree-sitter-devicetree,117243544,0.18
tree-sitter-scheme,117291360,0.14
tree-sitter-hcl,117288008,0.14
tree-sitter-cmake,117295928,0.13
tree-sitter-nix,117295968,0.13
tree-sitter-lua,117332992,0.10
tree-sitter-elisp,117328880,0.10
tree-sitter-proto,117328976,0.10
tree-sitter-xml,117332536,0.10
tree-sitter-toml-ng,117353232,0.08
tree-sitter-html,117361672,0.07
tree-sitter-newick,117374088,0.06
tree-sitter-css,117387000,0.05
tree-sitter-json,117378816,0.05
tree-sitter-java,117440512,0.00
